GeographyKey,City,StateProvinceCode,ProvinceName,CountryRegionCode,CountryName,PostalCode,SalesTerritoryKey
336,Lincoln Acres,CA,California,US,United States,91950,4
301,Burbank,CA,California,US,United States,91502,4
360,San Francisco,CA,California,US,United States,94109,4
307,Chula Vista,CA,California,US,United States,91910,4
329,Imperial Beach,CA,California,US,United States,91932,4
315,Downey,CA,California,US,United States,90241,4
358,San Carlos,CA,California,US,United States,94070,4
322,Fremont,CA,California,US,United States,94536,4
345,Newport Beach,CA,California,US,United States,92625,4
385,Woodland Hills,CA,California,US,United States,91364,4
383,West Covina,CA,California,US,United States,91791,4
334,Lakewood,CA,California,US,United States,90712,4
316,El Cajon,CA,California,US,United States,92020,4
11,North Ryde,NSW,New South Wales,AU,Australia,2113,9
37,Seaford,VIC,Victoria,AU,Australia,3198,9
3,Darlinghurst,NSW,New South Wales,AU,Australia,2010,9
25,Hervey Bay,QLD,Queensland,AU,Australia,4655,9
8,Matraville,NSW,New South Wales,AU,Australia,2036,9
19,Wollongong,NSW,New South Wales,AU,Australia,2500,9
16,Springwood,NSW,New South Wales,AU,Australia,2777,9
23,Gold Coast,QLD,Queensland,AU,Australia,4217,9
7,Malabar,NSW,New South Wales,AU,Australia,2036,9
12,North Sydney,NSW,New South Wales,AU,Australia,2055,9
10,Newcastle,NSW,New South Wales,AU,Australia,2300,9
4,Goulburn,NSW,New South Wales,AU,Australia,2580,9
35,Melbourne,VIC,Victoria,AU,Australia,3000,9
39,Sunbury,VIC,Victoria,AU,Australia,3429,9
17,St. Leonards,NSW,New South Wales,AU,Australia,2065,9
20,Brisbane,QLD,Queensland,AU,Australia,4000,9
15,Silverwater,NSW,New South Wales,AU,Australia,2264,9
40,Warrnambool,VIC,Victoria,AU,Australia,3280,9
28,Cloverdale,SA,South Australia,AU,Australia,6105,9
38,South Melbourne,VIC,Victoria,AU,Australia,3205,9
30,Perth,SA,South Australia,AU,Australia,6006,9
36,Melton,VIC,Victoria,AU,Australia,3337,9
27,Townsville,QLD,Queensland,AU,Australia,4810,9
21,Caloundra,QLD,Queensland,AU,Australia,4551,9
22,East Brisbane,QLD,Queensland,AU,Australia,4169,9
24,Hawthorne,QLD,Queensland,AU,Australia,4171,9
5,Lane Cove,NSW,New South Wales,AU,Australia,1597,9
18,Sydney,NSW,New South Wales,AU,Australia,1002,9
9,Milsons Point,NSW,New South Wales,AU,Australia,2061,9
13,Port Macquarie,NSW,New South Wales,AU,Australia,2444,9
6,Lavender Bay,NSW,New South Wales,AU,Australia,2060,9
34,Geelong,VIC,Victoria,AU,Australia,3220,9
14,Rhodes,NSW,New South Wales,AU,Australia,2138,9
32,Bendigo,VIC,Victoria,AU,Australia,3550,9
2,Coffs Harbour,NSW,New South Wales,AU,Australia,2450,9
33,Cranbourne,VIC,Victoria,AU,Australia,3977,9
29,Findon,SA,South Australia,AU,Australia,5023,9
51,Langford,BC,British Columbia,CA,Canada,V9,6
49,Cliffside,BC,British Columbia,CA,Canada,V8Y 1L1,6
70,Westminster,BC,British Columbia,CA,Canada,V3L 1E7,6
55,Newton,BC,British Columbia,CA,Canada,V2L3W8,6
63,Shawnee,BC,British Columbia,CA,Canada,V8Z 4N5,6
71,Westminster,BC,British Columbia,CA,Canada,V3L 1H4,6
65,Shawnee,BC,British Columbia,CA,Canada,V9B 5T2,6
634,Redmond,WA,Washington,US,United States,98052,1
616,Everett,WA,Washington,US,United States,98201,1
648,Yakima,WA,Washington,US,United States,98901,1
623,Kirkland,WA,Washington,US,United States,98033,1
546,Oregon City,OR,Oregon,US,United States,97045,1
635,Renton,WA,Washington,US,United States,98055,1
537,Clackamas,OR,Oregon,US,United States,97015,1
613,Chehalis,WA,Washington,US,United States,98532,1
352,Palo Alto,CA,California,US,United States,94303,4
331,La Jolla,CA,California,US,United States,92806,4
339,Mill Valley,CA,California,US,United States,94941,4
361,San Gabriel,CA,California,US,United States,91776,4
326,Grossmont,CA,California,US,United States,91941,4
343,National City,CA,California,US,United States,91950,4
574,Carrollton,TX,Texas,US,United States,75006,4
347,Novato,CA,California,US,United States,94947,4
308,Citrus Heights,CA,California,US,United States,95610,4
575,Cedar Park,TX,Texas,US,United States,78613,4
309,City Of Commerce,CA,California,US,United States,90040,4
31,Hobart,TAS,Tasmania,AU,Australia,7001,9
26,Rockhampton,QLD,Queensland,AU,Australia,4700,9
432,Chicago,IL,Illinois,US,United States,60610,3
557,Bluffton,SC,South Carolina,US,United States,29910,5
403,Clearwater,FL,Florida,US,United States,33755,5
420,Clarkston,GA,Georgia,US,United States,30021,5
419,Byron,GA,Georgia,US,United States,31008,5
602,Chantilly,VA,Virginia,US,United States,20151,5
494,Charlotte,NC,North Carolina,US,United States,28202,5
513,Central Valley,NY,New York,US,United States,10917,2
526,Columbus,OH,Ohio,US,United States,43215,2
304,Canoga Park,CA,California,US,United States,91303,4
524,Burbank,OH,Ohio,US,United States,44214,2
654,Cheyenne,WY,Wyoming,US,United States,82001,1
576,College Station,TX,Texas,US,United States,77840,4
431,Carol Stream,IL,Illinois,US,United States,60188,3
475,Branch,MN,Minnesota,US,United States,55056,3
280,Birmingham,AL,Alabama,US,United States,35203,5
514,Cheektowaga,NY,New York,US,United States,14227,2
491,Billings,MT,Montana,US,United States,59101,1
285,Chandler,AZ,Arizona,US,United States,85225,4
303,Camarillo,CA,California,US,United States,93010,4
488,Biloxi,MS,Mississippi,US,United States,39530,5
594,Bountiful,UT,Utah,US,United States,84010,1
297,Bell Gardens,CA,California,US,United States,90201,4
296,Barstow,CA,California,US,United States,92311,4
653,Casper,WY,Wyoming,US,United States,82601,1
525,Cincinnati,OH,Ohio,US,United States,45202,2
402,Bradenton,FL,Florida,US,United States,34205,5
448,Campbellsville,KY,Kentucky,US,United States,42718,5
515,Clay,NY,New York,US,United States,13041,2
77,Chalk Riber,ON,Ontario,CA,Canada,K0J 1J0,6
538,Clackamas,OR,Oregon,US,United States,97015-6403,1
481,Branson,MO,Missouri,US,United States,65616,3
421,Columbus,GA,Georgia,US,United States,31901,5
610,Bothell,WA,Washington,US,United States,98011,1
595,Cedar City,UT,Utah,US,United States,84720,1
573,Baytown,TX,Texas,US,United States,77520,4
306,Cerritos,CA,California,US,United States,90703,4
305,Carson,CA,California,US,United States,90746,4
608,Bellevue,WA,Washington,US,United States,98004,1
453,Braintree,MA,Massachusetts,US,United States,2184,2
